loan_id,customer_id,branch_id,loan_type,loan_start_date,loan_amount,interest_rate_pct,term_months,emi_amount,outstanding_balance,loan_status,default_status,days_past_due,customer_name,customer_segment,annual_income,city,home_branch_id,declared_risk_segment,credit_score,credit_score_band,past_due_accounts,credit_utilization_pct,hard_inquiries_12m,credit_history_years,total_payment_records,total_amount_paid,paid_payments,late_payments,max_days_late,average_days_late,repayment_rate_pct,late_payment_rate_pct,branch_name,city_branch,loan_to_income_ratio,low_credit_score_flag,high_utilization_flag,high_loan_to_income_flag,high_interest_flag,late_payment_flag,poor_repayment_flag,past_due_accounts_flag,high_inquiry_flag,default_flag,loan_risk_score,loan_risk_level,income_band,interest_rate_band,loan_amount_band
L00141,C00260,B015,Education,2025-06-07,513268.48,18.9,60,16638.45,219269.57,Defaulted,Yes,78,Deepa Gupta,Senior Citizen,86718.0,Madurai,B015,Low,563.0,Fair,1.0,43.6,0.0,12.0,12,182839.72,5,10,59,14.833333333333334,41.66666666666667,83.33333333333334,Hyderabad Branch 2,Hyderabad,5.918822851080513,1,0,1,1,1,1,0,0,1,75,Critical,High Income,Very High Rate,Large Loan
L00538,C00348,B018,Personal,2023-11-26,182311.72,18.84,12,18054.94,155786.29,Defaulted,Yes,73,Geetha Verma,Mass Affluent,17821.0,Coimbatore,B018,Medium,525.0,Poor,1.0,73.2,0.0,4.0,11,186892.32,4,10,52,15.545454545454545,36.36363636363637,90.9090909090909,Madurai Branch 2,Madurai,10.230162168228494,1,0,1,1,1,1,0,0,1,75,Critical,Low Income,Very High Rate,Medium Loan
L00555,C00459,B011,Business,2023-10-01,353361.85,16.93,48,12347.05,286328.08,Defaulted,Yes,66,Naveen Sharma,Retail,84861.0,Kolkata,B011,Low,647.0,Fair,2.0,82.0,1.0,0.0,18,206169.07,9,17,59,11.5,50.0,94.44444444444444,Chennai Branch 2,Chennai,4.164007612448592,0,1,1,1,1,1,1,0,1,75,Critical,High Income,Very High Rate,Medium Loan
L00069,C00388,B019,Education,2023-08-12,1553314.81,18.59,48,56424.16,981270.18,Defaulted,Yes,62,Anitha Nair,Sme Owner,51638.0,Chennai,B019,Low,616.0,Fair,2.0,90.2,1.0,7.0,19,1011013.3,7,17,59,15.842105263157896,36.84210526315789,89.47368421052632,Coimbatore Branch 2,Coimbatore,30.08084763158914,0,1,1,1,1,1,1,0,1,75,Critical,Lower Middle,Very High Rate,Very Large Loan
L00198,C00759,B007,Personal,2023-09-29,570302.88,18.27,84,15472.18,172917.6,Defaulted,Yes,54,Vijay Nair,Retail,23125.0,Kolkata,B007,Low,579.0,Fair,1.0,59.9,2.0,3.0,18,259452.61000000002,9,17,59,13.833333333333334,50.0,94.44444444444444,Kolkata Branch 1,Kolkata,24.661746162162164,1,0,1,1,1,1,0,0,1,75,Critical,Low Income,Very High Rate,Large Loan
L00641,C00553,B004,Business,2022-03-22,227748.23,18.4,48,8236.89,214459.4,Defaulted,Yes,43,Kavya Verma,Retail,45678.0,Pune,B004,Medium,599.0,Fair,1.0,74.3,2.0,0.0,19,142715.49,6,16,59,15.052631578947368,31.57894736842105,84.21052631578947,Delhi Branch 1,Delhi,4.985950129165025,1,0,1,1,1,1,0,0,1,75,Critical,Lower Middle,Very High Rate,Medium Loan
L00057,C00773,B001,Auto,2025-04-06,741924.11,14.22,48,24248.55,622139.67,Defaulted,Yes,120,Suresh Patel,Retail,89456.0,Mumbai,B001,Medium,678.0,Good,0.0,11.5,1.0,6.0,11,255577.91999999998,4,11,48,11.272727272727273,36.36363636363637,100.0,Chennai Branch 1,Chennai,8.293732225898765,0,0,1,0,1,1,0,0,1,70,Critical,High Income,High Rate,Large Loan
L00353,C00255,B011,Personal,2024-02-19,130723.27,15.14,12,12542.9,109663.33,Defaulted,Yes,120,Rohit Singh,Sme Owner,49291.0,Coimbatore,B011,Low,659.0,Good,1.0,33.2,6.0,11.0,10,119334.3,4,10,56,15.0,40.0,100.0,Chennai Branch 2,Chennai,2.6520717778093363,0,0,1,1,1,1,0,1,1,70,Critical,Lower Middle,High Rate,Small Loan
L00524,C00955,B023,Education,2024-07-15,93644.81,17.19,48,3292.4,24279.87,Defaulted,Yes,120,Vishal Gupta,Retail,44407.0,Chennai,B023,Low,652.0,Good,0.0,17.9,8.0,11.0,20,61417.77,6,19,53,18.05,30.0,95.0,Mumbai Branch 3,Mumbai,2.1087848762582477,0,0,1,1,1,1,0,1,1,70,Critical,Lower Middle,Very High Rate,Small Loan
L00036,C00188,B014,Personal,2022-12-30,657864.87,13.6,36,25729.83,178110.62,Defaulted,Yes,117,Rahul Kumar,Senior Citizen,54248.0,Hyderabad,B014,Low,726.0,Good,0.0,43.3,5.0,10.0,16,400198.76,8,15,45,10.875,50.0,93.75,Delhi Branch 2,Delhi,12.12698846040407,0,0,1,0,1,1,0,1,1,70,Critical,Upper Middle,High Rate,Large Loan
L00426,C00702,B006,Personal,2025-06-16,1352877.15,18.05,60,42897.48,1090346.1,Defaulted,Yes,115,Ajay Gupta,Sme Owner,56198.0,Kochi,B006,Medium,623.0,Fair,2.0,60.3,1.0,7.0,11,435187.69,5,10,57,15.636363636363637,45.45454545454545,90.9090909090909,Pune Branch 1,Pune,24.07340385778853,0,0,1,1,1,1,1,0,1,70,Critical,Upper Middle,Very High Rate,Very Large Loan
L00017,C00898,B020,Personal,2025-04-18,352851.72,14.78,48,11697.03,53616.23,Defaulted,Yes,115,Rahul Kumar,Retail,112698.0,Delhi,B020,Low,701.0,Good,0.0,1.0,8.0,12.0,16,162596.07,5,16,60,20.625,31.25,100.0,Kochi Branch 2,Kochi,3.1309492626311024,0,0,1,0,1,1,0,1,1,70,Critical,High Income,High Rate,Medium Loan
L00028,C00099,B013,Business,2024-05-06,553134.48,14.74,48,18317.97,480065.17,Defaulted,Yes,114,Rohit Gupta,Mass Affluent,123062.0,Delhi,B013,Medium,721.0,Good,0.0,26.8,3.0,8.0,18,316691.59,5,17,57,14.833333333333334,27.77777777777778,94.44444444444444,Mumbai Branch 2,Mumbai,4.494762639970096,0,0,1,0,1,1,0,0,1,70,Critical,High Income,High Rate,Large Loan
L00539,C00097,B010,Education,2022-10-01,1711937.96,18.34,84,46544.33,1001711.0,Defaulted,Yes,111,Vishal Singh,Retail,76354.0,Kolkata,B010,Low,619.0,Fair,0.0,57.9,4.0,4.0,17,743042.04,9,15,58,13.117647058823529,52.94117647058824,88.23529411764706,Kochi Branch 1,Kochi,22.421064515284073,0,0,1,1,1,1,0,0,1,70,Critical,High Income,Very High Rate,Very Large Loan
