customer_id,customer_name,customer_segment,total_loans,total_loan_value,total_outstanding_balance,average_credit_score,max_days_past_due,defaulted_loans,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level
C00112,Geetha Sharma,Retail,1,554868.96,367589.17,759.0,18,0,30,30.0,Medium
C00113,Deepa Nair,Sme Owner,1,259467.25,0.0,717.0,6,0,35,35.0,Medium
C00115,Karthik Sharma,Sme Owner,1,1719445.72,318409.17,579.0,15,0,60,60.0,High
C00118,Pooja Verma,Retail,1,736446.82,0.0,620.0,17,0,40,40.0,Medium
C00119,Pooja Kumar,Retail,1,454962.78,317281.58,677.0,51,1,70,70.0,Critical
C00121,Suresh Iyer,Retail,1,87489.86,0.0,743.0,7,0,40,40.0,Medium
C00122,Divya Sharma,Retail,1,183515.69,134396.72,642.0,13,0,25,25.0,Medium
C00123,Sneha Kumar,Retail,1,836138.9,0.0,699.0,4,0,30,30.0,Medium
C00124,Kavya Iyer,Retail,1,421844.15,67184.69,711.0,43,1,70,70.0,Critical
C00125,Karthik Iyer,Retail,1,99089.06,0.0,694.0,2,0,25,25.0,Medium
C00128,Sneha Patel,Mass Affluent,1,270023.29,0.0,766.0,8,0,30,30.0,Medium
C00130,Kavya Nair,Senior Citizen,1,108685.02,47710.72,599.0,11,0,55,55.0,High
C00131,Sneha Singh,Retail,1,211632.11,138684.69,763.0,19,0,25,25.0,Medium
C00132,Lakshmi Singh,Retail,1,832345.44,286549.78,668.0,99,1,70,70.0,Critical
C00133,Anitha Gupta,Mass Affluent,1,602050.96,438637.11,743.0,17,0,25,25.0,Medium
C00134,Rohit Gupta,Senior Citizen,1,95420.29,37649.77,590.0,16,0,55,55.0,High
C00135,Vijay Nair,Retail,1,297463.54,149917.66,597.0,7,0,60,60.0,High
C00139,Naveen Singh,Retail,1,333731.96,196932.11,731.0,17,0,40,40.0,Medium
C00140,Divya Patel,Mass Affluent,1,238860.02,163519.81,673.0,5,0,35,35.0,Medium
C00141,Suresh Iyer,Retail,1,256739.75,179246.06,728.0,8,0,40,40.0,Medium
C00144,Priya Kumar,Student,1,2209686.85,1011926.59,660.0,7,0,40,40.0,Medium
C00145,Ajay Verma,Premium,1,190348.43,124188.19,650.0,62,1,70,70.0,Critical
C00148,Arun Patel,Retail,1,108218.93,28340.78,773.0,58,1,70,70.0,Critical
C00149,Rohit Rao,Retail,1,656254.27,0.0,778.0,1,0,30,30.0,Medium
C00150,Sneha Reddy,Retail,1,220953.42,33907.4,720.0,3,0,35,35.0,Medium
C00151,Kavya Iyer,Mass Affluent,1,895344.63,773244.77,721.0,15,0,40,40.0,Medium
C00153,Vijay Sharma,Student,1,887782.16,0.0,792.0,9,0,25,25.0,Medium
C00156,Ajay Patel,Sme Owner,1,1011149.32,0.0,731.0,15,0,40,40.0,Medium
C00159,Rahul Nair,Mass Affluent,1,250459.42,0.0,642.0,2,0,50,50.0,High
C00161,Rohit Patel,Student,1,119180.75,26728.39,718.0,11,0,25,25.0,Medium
C00163,Deepa Sharma,Senior Citizen,1,711439.14,216073.0,702.0,7,0,30,30.0,Medium
C00164,Priya Patel,Mass Affluent,1,336863.28,0.0,718.0,9,0,35,35.0,Medium
C00167,Karthik Rao,Retail,1,227959.69,0.0,665.0,5,0,35,35.0,Medium
C00168,Deepa Gupta,Senior Citizen,1,176927.72,105525.78,725.0,12,0,25,25.0,Medium
C00169,Pooja Verma,Retail,1,87214.42,21622.78,755.0,9,0,25,25.0,Medium
C00170,Lakshmi Rao,Retail,1,143045.58,0.0,898.0,18,0,25,25.0,Medium
C00171,Vishal Nair,Retail,1,1181636.44,822019.43,769.0,15,0,30,30.0,Medium
C00173,Rohit Patel,Mass Affluent,1,154639.84,107102.79,702.0,6,0,35,35.0,Medium
C00174,Sneha Singh,Retail,1,178980.63,151184.96,752.0,1,0,30,30.0,Medium
C00176,Anitha Gupta,Premium,1,479012.05,149397.11,894.0,0,0,25,25.0,Medium
C00178,Suresh Nair,Premium,1,161846.37,146773.9,616.0,18,0,40,40.0,Medium
C00181,Kavya Kumar,Mass Affluent,1,234542.01,109134.89,591.0,4,0,55,55.0,High
C00182,Meena Rao,Retail,1,92334.07,75035.72,680.0,16,0,35,35.0,Medium
C00184,Kavya Kumar,Student,1,1752375.09,1271630.87,730.0,12,0,30,30.0,Medium
C00185,Priya Nair,Mass Affluent,1,900353.67,0.0,596.0,13,0,70,70.0,Critical
C00186,Sanjay Verma,Sme Owner,1,1368772.62,919265.38,670.0,58,1,70,70.0,Critical
C00187,Rohit Singh,Retail,1,1306101.44,630781.77,752.0,3,0,30,30.0,Medium
C00188,Rahul Kumar,Senior Citizen,1,657864.87,178110.62,726.0,117,1,70,70.0,Critical
C00189,Geetha Reddy,Student,1,182217.29,59585.73,773.0,7,0,25,25.0,Medium
C00190,Meena Singh,Mass Affluent,1,175254.97,0.0,594.0,12,0,55,55.0,High
C00191,Deepa Singh,Senior Citizen,1,891860.23,416237.09,668.0,12,0,40,40.0,Medium
C00192,Vishal Sharma,Retail,1,1420322.24,1239689.55,785.0,14,0,30,30.0,Medium
C00193,Kavya Singh,Sme Owner,1,2245642.37,474780.67,806.0,6,0,30,30.0,Medium
C00194,Ajay Iyer,Retail,1,168844.29,131650.13,822.0,51,1,70,70.0,Critical
C00199,Deepa Verma,Retail,1,807285.82,206599.71,747.0,13,0,25,25.0,Medium
C00200,Rahul Gupta,Retail,1,888526.52,239402.02,746.0,11,0,25,25.0,Medium
C00201,Ajay Patel,Student,1,160093.78,0.0,690.0,11,0,40,40.0,Medium
C00202,Rohit Iyer,Mass Affluent,1,228210.8,0.0,796.0,18,0,15,15.0,Low
C00204,Divya Iyer,Sme Owner,1,1970548.72,1387957.01,691.0,9,0,40,40.0,Medium
C00205,Geetha Nair,Mass Affluent,1,176480.69,57727.0,632.0,17,0,40,40.0,Medium
C00206,Meena Rao,Retail,1,714204.67,452409.5,630.0,15,0,45,45.0,Medium
C00207,Ajay Verma,Retail,1,587791.8,192106.85,771.0,33,1,70,70.0,Critical
C00208,Rohit Iyer,Retail,1,934632.68,647224.43,661.0,34,1,70,70.0,Critical
C00209,Divya Patel,Student,1,1613792.07,1188091.84,644.0,11,0,35,35.0,Medium
C00210,Arun Patel,Senior Citizen,1,1655029.43,1180325.4,791.0,11,0,25,25.0,Medium
C00211,Divya Singh,Senior Citizen,1,847702.41,366249.3,697.0,38,1,70,70.0,Critical
C00212,Kavya Rao,Mass Affluent,1,318336.14,0.0,657.0,16,0,40,40.0,Medium
C00213,Meena Nair,Mass Affluent,1,1607736.22,0.0,752.0,20,0,30,30.0,Medium
C00214,Geetha Sharma,Senior Citizen,1,879331.89,0.0,688.0,4,0,40,40.0,Medium
C00215,Suresh Reddy,Sme Owner,1,169702.67,74392.42,714.0,75,1,70,70.0,Critical
C00216,Rohit Sharma,Student,1,287264.88,215161.1,759.0,18,0,25,25.0,Medium
C00217,Pooja Gupta,Premium,1,1928709.52,1569180.04,555.0,18,0,60,60.0,High
C00218,Suresh Kumar,Student,1,136651.81,31996.33,777.0,10,0,20,20.0,Low
C00219,Sanjay Patel,Senior Citizen,1,1584927.01,465501.72,733.0,20,0,30,30.0,Medium
C00221,Sneha Reddy,Premium,1,195505.05,74385.85,868.0,3,0,30,30.0,Medium
C00222,Karthik Singh,Mass Affluent,1,107828.17,17526.1,708.0,45,1,70,70.0,Critical
C00224,Ajay Sharma,Retail,1,149580.69,85749.66,517.0,4,0,65,65.0,High
C00225,Naveen Nair,Retail,1,2096003.18,0.0,612.0,8,0,35,35.0,Medium
C00227,Priya Nair,Retail,1,191213.97,151414.97,613.0,15,0,25,25.0,Medium
C00228,Suresh Gupta,Student,1,1647758.28,0.0,692.0,13,0,30,30.0,Medium
C00229,Deepa Rao,Retail,1,2350547.69,0.0,653.0,15,0,30,30.0,Medium
C00230,Pooja Nair,Retail,1,958407.21,639731.49,715.0,7,0,30,30.0,Medium
C00232,Vijay Singh,Retail,1,109113.13,0.0,695.0,19,0,35,35.0,Medium
C00233,Vishal Iyer,Senior Citizen,1,134064.77,97411.64,639.0,4,0,50,50.0,High
C00234,Vishal Kumar,Retail,1,144660.68,101685.64,747.0,47,1,70,70.0,Critical
C00236,Karthik Patel,Senior Citizen,1,1522448.92,900622.04,734.0,13,0,25,25.0,Medium
C00240,Karthik Verma,Retail,1,2108528.78,444397.83,766.0,3,0,30,30.0,Medium
C00242,Suresh Singh,Retail,1,413109.15,0.0,742.0,9,0,25,25.0,Medium
C00243,Vijay Singh,Senior Citizen,1,155215.72,103398.56,667.0,14,0,40,40.0,Medium
C00244,Karthik Nair,Mass Affluent,1,223945.79,196503.1,769.0,2,0,20,20.0,Low
C00245,Deepa Nair,Retail,1,1492076.91,572495.01,592.0,118,1,75,75.0,Critical
C00248,Sanjay Sharma,Mass Affluent,1,688243.58,514893.65,793.0,42,1,70,70.0,Critical
C00249,Ajay Sharma,Premium,1,754704.18,480533.09,668.0,14,0,40,40.0,Medium
C00251,Sneha Verma,Retail,1,478451.32,0.0,674.0,13,0,40,40.0,Medium
C00252,Ajay Iyer,Retail,1,1736349.2,1177352.29,636.0,19,0,45,45.0,Medium
C00253,Suresh Sharma,Senior Citizen,1,887158.85,0.0,618.0,5,0,35,35.0,Medium
C00254,Vishal Patel,Sme Owner,1,328440.64,95651.43,679.0,9,0,35,35.0,Medium
C00255,Rohit Singh,Sme Owner,1,130723.27,109663.33,659.0,120,1,70,70.0,Critical
C00257,Divya Kumar,Mass Affluent,1,1601257.69,1316482.32,703.0,4,0,30,30.0,Medium
C00258,Sneha Iyer,Senior Citizen,1,1484829.07,695300.23,654.0,14,0,50,50.0,High
C00259,Karthik Iyer,Student,1,1097976.56,1041399.28,621.0,13,0,35,35.0,Medium
C00260,Deepa Gupta,Senior Citizen,1,513268.48,219269.57,563.0,78,1,75,75.0,Critical
C00261,Arun Iyer,Retail,1,142463.94,45506.46,719.0,5,0,35,35.0,Medium
C00262,Geetha Verma,Student,1,294687.98,273103.34,620.0,0,0,35,35.0,Medium
C00264,Karthik Reddy,Mass Affluent,1,934542.57,0.0,688.0,2,0,25,25.0,Medium
C00265,Vijay Singh,Mass Affluent,1,2324978.44,1957200.72,614.0,6,0,35,35.0,Medium
C00266,Lakshmi Reddy,Retail,1,173614.72,105270.09,732.0,19,0,35,35.0,Medium
C00268,Suresh Rao,Premium,1,278598.04,214048.54,632.0,18,0,45,45.0,Medium
C00269,Pooja Singh,Retail,1,107700.02,0.0,554.0,13,0,60,60.0,High
C00270,Ajay Rao,Retail,1,1490529.88,1342911.0,718.0,4,0,35,35.0,Medium
C00271,Pooja Sharma,Premium,1,685149.7,491416.1,767.0,12,0,30,30.0,Medium
C00272,Vijay Gupta,Mass Affluent,1,2117281.7,0.0,743.0,12,0,25,25.0,Medium
C00273,Ajay Iyer,Retail,1,1353845.8,0.0,635.0,13,0,40,40.0,Medium
C00274,Anitha Patel,Retail,1,508153.83,0.0,621.0,12,0,40,40.0,Medium
C00275,Kavya Rao,Senior Citizen,1,334481.58,247122.64,706.0,15,0,25,25.0,Medium
C00276,Sanjay Kumar,Mass Affluent,1,309039.14,235683.33,799.0,9,0,30,30.0,Medium
C00277,Arun Nair,Premium,1,208241.69,0.0,824.0,19,0,15,15.0,Low
C00279,Pooja Rao,Mass Affluent,1,1704574.16,936324.08,764.0,19,0,25,25.0,Medium
C00280,Vijay Gupta,Senior Citizen,1,534666.42,184333.4,749.0,13,0,25,25.0,Medium
C00281,Meena Kumar,Mass Affluent,1,986790.24,434666.2,731.0,3,0,25,25.0,Medium
C00282,Rahul Reddy,Retail,1,80818.57,56600.32,764.0,19,0,30,30.0,Medium
C00284,Deepa Patel,Mass Affluent,1,283285.46,201981.21,643.0,90,1,70,70.0,Critical
C00287,Rohit Nair,Sme Owner,1,94467.88,0.0,688.0,5,0,25,25.0,Medium
C00288,Divya Patel,Retail,1,631315.2,495319.76,723.0,58,1,70,70.0,Critical
C00291,Rohit Iyer,Retail,1,166572.62,0.0,737.0,16,0,25,25.0,Medium
C00292,Vijay Rao,Premium,1,2392557.75,0.0,717.0,19,0,25,25.0,Medium
C00293,Ajay Singh,Mass Affluent,1,1692948.26,620950.89,693.0,9,0,30,30.0,Medium
C00295,Meena Patel,Retail,1,430871.97,142106.59,709.0,33,1,70,70.0,Critical
C00299,Rahul Sharma,Mass Affluent,1,97748.07,40040.89,748.0,17,0,25,25.0,Medium
C00301,Arun Sharma,Retail,1,1229375.18,0.0,647.0,0,0,40,40.0,Medium
C00303,Deepa Verma,Premium,1,100360.44,50420.07,679.0,80,1,70,70.0,Critical
C00305,Kavya Patel,Sme Owner,1,487072.64,0.0,689.0,17,0,30,30.0,Medium
C00307,Rahul Rao,Premium,1,1189350.72,0.0,606.0,17,0,35,35.0,Medium
C00308,Rahul Iyer,Mass Affluent,1,81635.41,41682.69,650.0,16,0,30,30.0,Medium
C00309,Vijay Verma,Retail,1,104690.75,0.0,754.0,18,0,25,25.0,Medium
C00311,Suresh Sharma,Retail,1,760594.54,0.0,791.0,3,0,25,25.0,Medium
C00316,Priya Reddy,Retail,1,138357.32,0.0,628.0,19,0,35,35.0,Medium
C00318,Lakshmi Iyer,Mass Affluent,1,168381.81,0.0,683.0,7,0,35,35.0,Medium
C00322,Rahul Iyer,Retail,1,99073.12,77724.18,800.0,16,0,25,25.0,Medium
C00323,Rahul Gupta,Mass Affluent,1,112191.58,43063.25,684.0,55,1,70,70.0,Critical
C00324,Sanjay Iyer,Sme Owner,1,209693.25,0.0,766.0,12,0,30,30.0,Medium
C00327,Ajay Gupta,Mass Affluent,1,1663875.88,875070.89,632.0,83,1,70,70.0,Critical
C00328,Karthik Iyer,Retail,1,309711.61,0.0,643.0,5,0,40,40.0,Medium
C00330,Deepa Rao,Retail,1,232730.99,0.0,758.0,4,0,30,30.0,Medium
C00332,Deepa Patel,Retail,1,238778.61,49641.22,670.0,0,0,35,35.0,Medium
C00334,Rahul Gupta,Retail,1,1744321.04,341106.11,693.0,16,0,30,30.0,Medium
C00335,Naveen Patel,Mass Affluent,1,281795.76,130548.74,672.0,9,0,35,35.0,Medium
C00336,Karthik Singh,Senior Citizen,1,646043.91,411459.05,685.0,62,1,70,70.0,Critical
C00337,Rohit Iyer,Sme Owner,1,550486.22,0.0,622.0,19,0,35,35.0,Medium
C00339,Kavya Iyer,Senior Citizen,1,1653569.68,1119505.92,696.0,74,1,70,70.0,Critical
C00340,Kavya Patel,Retail,1,170106.66,97635.83,784.0,0,0,25,25.0,Medium
C00341,Deepa Verma,Premium,1,1984306.39,0.0,655.0,18,0,45,45.0,Medium
C00343,Rohit Sharma,Premium,1,445814.78,235313.32,767.0,1,0,25,25.0,Medium
C00344,Sanjay Verma,Retail,1,1466176.09,675227.3,759.0,87,1,70,70.0,Critical
C00346,Rohit Verma,Premium,1,1389059.35,479619.56,662.0,79,1,70,70.0,Critical
C00348,Geetha Verma,Mass Affluent,1,182311.72,155786.29,525.0,73,1,75,75.0,Critical
C00349,Pooja Iyer,Student,1,245369.67,0.0,744.0,11,0,35,35.0,Medium
C00350,Rohit Reddy,Sme Owner,1,1035295.79,676463.38,605.0,5,0,50,50.0,High
C00351,Arun Gupta,Student,1,417367.44,122951.23,,32,1,70,70.0,Critical
C00352,Pooja Verma,Retail,1,1625200.97,247548.21,749.0,17,0,30,30.0,Medium
C00353,Deepa Patel,Mass Affluent,1,1753044.43,527112.44,710.0,11,0,30,30.0,Medium
C00356,Ajay Gupta,Retail,1,356144.69,0.0,751.0,11,0,30,30.0,Medium
C00358,Karthik Singh,Student,1,247396.36,0.0,584.0,5,0,65,65.0,High
C00360,Rahul Patel,Sme Owner,1,111433.98,0.0,626.0,15,0,45,45.0,Medium
C00361,Lakshmi Iyer,Mass Affluent,1,329942.33,0.0,590.0,16,0,65,65.0,High
C00362,Deepa Sharma,Retail,1,1657255.47,1156572.97,573.0,78,1,75,75.0,Critical
C00363,Sanjay Nair,Retail,1,274778.37,200924.02,703.0,62,1,70,70.0,Critical
C00365,Vishal Gupta,Retail,1,2321068.78,2037501.44,714.0,1,0,30,30.0,Medium
C00366,Arun Kumar,Retail,1,198614.15,91831.73,638.0,43,1,70,70.0,Critical
C00367,Kavya Verma,Retail,1,81206.89,0.0,649.0,16,0,35,35.0,Medium
C00370,Meena Sharma,Senior Citizen,1,742920.8,448899.36,709.0,54,1,70,70.0,Critical
C00371,Arun Gupta,Sme Owner,1,866319.05,0.0,666.0,6,0,40,40.0,Medium
C00373,Geetha Verma,Retail,1,82235.29,35571.18,708.0,19,0,30,30.0,Medium
C00374,Naveen Iyer,Mass Affluent,1,774809.7,0.0,784.0,2,0,25,25.0,Medium
C00378,Deepa Sharma,Mass Affluent,1,515490.41,295820.65,721.0,42,1,70,70.0,Critical
C00379,Kavya Rao,Mass Affluent,1,143232.33,35087.88,680.0,8,0,40,40.0,Medium
C00380,Anitha Patel,Student,1,951378.22,147790.93,710.0,43,1,70,70.0,Critical
C00381,Lakshmi Kumar,Retail,1,316690.47,205678.46,846.0,16,0,30,30.0,Medium
C00383,Sanjay Singh,Retail,1,235603.81,104267.51,627.0,2,0,40,40.0,Medium
C00384,Rohit Kumar,Retail,1,498897.99,349461.13,641.0,11,0,50,50.0,High
C00387,Naveen Singh,Mass Affluent,1,81399.67,17900.93,586.0,105,1,75,75.0,Critical
C00388,Anitha Nair,Sme Owner,1,1553314.81,981270.18,616.0,62,1,75,75.0,Critical
C00389,Priya Verma,Student,1,454026.94,182367.57,773.0,14,0,25,25.0,Medium
C00391,Sanjay Kumar,Retail,1,196253.27,120991.29,860.0,36,1,70,70.0,Critical
C00392,Sneha Iyer,Retail,1,134718.94,77368.48,796.0,16,0,30,30.0,Medium
C00394,Karthik Rao,Retail,1,193131.66,60033.28,719.0,15,0,40,40.0,Medium
C00395,Meena Rao,Retail,1,139724.35,0.0,802.0,3,0,25,25.0,Medium
C00396,Kavya Rao,Retail,1,813376.33,413927.45,778.0,6,0,30,30.0,Medium
C00397,Priya Iyer,Senior Citizen,1,320893.37,299848.9,779.0,19,0,25,25.0,Medium
C00400,Divya Rao,Sme Owner,1,163104.17,121006.02,664.0,19,0,40,40.0,Medium
C00402,Priya Reddy,Mass Affluent,1,318020.03,290731.46,607.0,19,0,35,35.0,Medium
C00404,Sanjay Singh,Senior Citizen,1,150295.8,0.0,638.0,20,0,40,40.0,Medium
C00405,Anitha Kumar,Mass Affluent,1,884847.9,342737.69,819.0,14,0,25,25.0,Medium
C00406,Lakshmi Verma,Retail,1,146429.77,0.0,687.0,20,0,40,40.0,Medium
C00408,Suresh Kumar,Retail,1,1353487.69,648438.05,734.0,38,1,70,70.0,Critical
C00409,Ajay Verma,Premium,1,1916684.47,1732907.52,555.0,19,0,55,55.0,High
C00410,Pooja Gupta,Retail,1,998206.01,0.0,661.0,18,0,40,40.0,Medium
C00412,Rohit Reddy,Student,1,1462187.66,0.0,779.0,8,0,25,25.0,Medium
C00413,Deepa Rao,Mass Affluent,1,180889.74,150872.63,722.0,45,1,70,70.0,Critical
C00414,Divya Kumar,Senior Citizen,1,527485.52,216719.62,582.0,8,0,60,60.0,High
C00415,Sneha Singh,Sme Owner,1,196364.99,0.0,576.0,0,0,65,65.0,High
C00416,Sanjay Rao,Sme Owner,1,530949.21,490161.71,768.0,104,1,70,70.0,Critical
C00417,Anitha Nair,Senior Citizen,1,133249.52,31578.53,691.0,17,0,35,35.0,Medium
C00418,Rahul Gupta,Retail,1,1908292.93,1044551.23,632.0,76,1,70,70.0,Critical
C00419,Rohit Gupta,Retail,1,505605.1,301692.56,703.0,64,1,70,70.0,Critical
C00420,Anitha Rao,Mass Affluent,1,262057.26,0.0,623.0,9,0,40,40.0,Medium
C00421,Rahul Sharma,Senior Citizen,1,546121.4,298614.42,816.0,43,1,70,70.0,Critical
C00422,Sanjay Singh,Retail,1,864070.93,197857.15,673.0,89,1,70,70.0,Critical
C00423,Arun Iyer,Retail,1,1135648.09,793973.09,695.0,18,0,30,30.0,Medium
C00424,Sanjay Nair,Senior Citizen,1,349492.93,303791.22,647.0,13,0,40,40.0,Medium
C00425,Geetha Patel,Sme Owner,1,551924.56,111110.96,694.0,12,0,35,35.0,Medium
C00426,Geetha Verma,Mass Affluent,1,1372062.07,0.0,657.0,6,0,40,40.0,Medium
C00429,Suresh Rao,Mass Affluent,1,1077280.78,507444.17,754.0,111,1,70,70.0,Critical
C00431,Deepa Gupta,Sme Owner,1,105185.75,89060.59,740.0,13,0,30,30.0,Medium
C00434,Divya Sharma,Retail,1,103214.07,80145.51,842.0,14,0,10,10.0,Low
C00435,Pooja Sharma,Premium,1,516075.76,427205.32,695.0,90,1,70,70.0,Critical
C00437,Pooja Rao,Premium,1,174686.16,101549.44,646.0,51,1,70,70.0,Critical
C00438,Geetha Iyer,Mass Affluent,1,532479.81,261232.4,602.0,12,0,35,35.0,Medium
C00439,Divya Verma,Sme Owner,1,122421.67,18798.28,658.0,65,1,70,70.0,Critical
C00440,Priya Iyer,Senior Citizen,1,1716973.26,0.0,685.0,18,0,25,25.0,Medium
C00441,Arun Singh,Retail,1,881100.21,344089.59,738.0,11,0,30,30.0,Medium
C00443,Priya Rao,Student,1,2177264.96,0.0,540.0,0,0,70,70.0,Critical
C00444,Rohit Reddy,Retail,1,283404.44,180212.47,835.0,11,0,25,25.0,Medium
