customer_id,customer_name,customer_segment,city,state,annual_income,declared_risk_segment,total_transactions,total_transaction_value,transaction_fee_revenue,transaction_operational_cost,net_transaction_profit,number_of_accounts,total_account_balance,monthly_account_service_cost,annual_account_service_cost,total_complaints,complaint_service_cost,total_loans,total_loan_amount,total_outstanding_balance,estimated_interest_revenue,defaulted_loans,total_payments_made,payment_records,delayed_payment_records,max_days_late,suspicious_transactions,max_fraud_risk_score,confirmed_fraud_transactions,customer_fraud_risk_level,max_loan_risk_score,average_loan_risk_score,customer_loan_risk_level,customer_revenue,customer_operational_cost,customer_profit,profit_margin_pct,profitability_segment,high_value_customer_flag,combined_risk_level,customer_value_category
C00011,Ajay Iyer,Retail,Bengaluru,Karnataka,57234.0,Low,18,100441.4,371.37,292.27,79.10000000000002,1,168823.47,54.11,649.3199999999999,1.0,281.29,1.0,1349357.03,883309.32,157405.720824,0.0,1839576.9100000001,24.0,21.0,10.0,0,30,0,Medium,35.0,35.0,Medium,157777.09082399998,1222.8799999999999,156554.21082399998,99.2249318366732,High Profit,0,Medium,Low Value - Low/Medium Risk
C00012,Deepa Singh,Senior Citizen,Coimbatore,Tamil Nadu,29821.0,Medium,20,305992.53,336.76,270.84,65.92000000000002,1,35312.24,71.8,861.5999999999999,1.0,607.36,1.0,837582.26,355280.65,46399.65289,1.0,484995.74,24.0,24.0,60.0,4,70,4,Critical,70.0,70.0,Critical,46736.41289,1739.7999999999997,44996.61289,96.27742076805329,High Profit,1,Critical,High Value - High Risk
C00013,Arun Gupta,Retail,Madurai,Tamil Nadu,66300.0,Low,18,306866.47000000003,283.14,263.09000000000003,20.049999999999955,1,128547.28,124.56,1494.72,4.0,2450.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,70,2,Critical,0.0,0.0,,283.14,4207.93,-3924.7900000000004,-1386.1658543476726,Loss Making,1,Critical,High Value - High Risk
C00014,Deepa Kumar,Retail,Pune,Maharashtra,41915.0,Low,34,304260.45,663.26,537.32,125.93999999999994,2,195155.2,97.85,1174.1999999999998,2.0,912.36,1.0,1411273.57,861614.36,133722.548672,0.0,1628948.17,12.0,11.0,10.0,0,30,0,Medium,35.0,35.0,Medium,134385.808672,2623.88,131761.928672,98.04750216862243,High Profit,1,Medium,High Value - Low/Medium Risk
C00015,Karthik Verma,Mass Affluent,Delhi,Delhi,30471.0,Low,22,449022.36,474.08,336.91,137.16999999999996,1,14560.3,23.79,285.48,2.0,833.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,70,6,Critical,0.0,0.0,,474.08,1456.1200000000001,-982.0400000000002,-207.14647316908543,Loss Making,1,Critical,High Value - High Risk
C00016,Sanjay Iyer,Mass Affluent,Hyderabad,Telangana,70828.0,Low,21,135607.69,323.04,350.4,-27.359999999999957,1,643735.22,157.02,1884.2400000000002,2.0,545.1700000000001,1.0,803216.17,160136.68,26598.702547999997,0.0,799659.52,24.0,19.0,9.0,0,25,0,Medium,35.0,35.0,Medium,26921.742548,2779.8100000000004,24141.932547999997,89.67447966994057,Medium Profit,1,Medium,High Value - Low/Medium Risk
C00017,Deepa Nair,Retail,Hyderabad,Telangana,47520.0,Low,17,93788.05,290.3,291.41,-1.1100000000000136,1,173933.87,145.0,1740.0,2.0,658.2299999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,Medium,0.0,0.0,,290.3,2689.64,-2399.3399999999997,-826.5036169479847,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00018,Deepa Reddy,Sme Owner,Bengaluru,Karnataka,72107.0,Low,20,122363.27,376.6,337.8,38.80000000000001,1,113925.91,64.17,770.04,3.0,781.3199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,Medium,0.0,0.0,,376.6,1889.1599999999999,-1512.56,-401.6356877323419,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00019,Vijay Rao,Sme Owner,Hyderabad,Telangana,28218.0,Low,28,179375.59,501.58,444.85,56.72999999999996,1,160318.59,151.89,1822.6799999999998,2.0,923.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,Medium,0.0,0.0,,501.58,3190.8199999999997,-2689.24,-536.1537541369273,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00020,Vijay Sharma,Mass Affluent,Madurai,Tamil Nadu,58676.0,Low,35,255171.62,615.6800000000001,543.59,72.09000000000003,2,242929.05,282.22,3386.6400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,Medium,0.0,0.0,,615.6800000000001,3930.2300000000005,-3314.55,-538.3559641372141,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00021,Deepa Sharma,Retail,Mumbai,Maharashtra,38199.0,Medium,29,554883.7,493.63,424.23,69.39999999999998,1,40861.08,60.86,730.3199999999999,1.0,665.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,70,3,Critical,0.0,0.0,,493.63,1820.38,-1326.75,-268.77418309259974,Loss Making,1,Critical,High Value - High Risk
C00022,Rohit Nair,Sme Owner,Mumbai,Maharashtra,76828.0,Medium,30,242151.46,520.53,389.8,130.72999999999996,2,76955.91,231.3,2775.6000000000004,1.0,483.95,1.0,309207.63,0.0,0.0,0.0,109622.54000000001,10.0,9.0,10.0,0,10,0,Low,50.0,50.0,High,520.53,3649.3500000000004,-3128.8200000000006,-601.083511036828,Loss Making,0,High,Low Value - High Risk
C00023,Divya Singh,Senior Citizen,Chennai,Tamil Nadu,24950.0,Low,19,191124.32,317.96,280.83,37.129999999999995,1,95135.81,111.83,1341.96,5.0,1951.84,1.0,330362.82,301888.94,53856.986896,1.0,184829.08,17.0,16.0,46.0,0,30,0,Medium,80.0,80.0,Critical,54174.946896,3574.63,50600.316896000004,93.40169173241233,High Profit,0,Critical,Low Value - High Risk
C00024,Rahul Reddy,Sme Owner,Bengaluru,Karnataka,41307.0,Low,18,139076.48,237.14000000000001,215.51,21.630000000000024,1,190171.26,162.3,1947.6000000000001,1.0,70.8,1.0,1438784.08,0.0,0.0,0.0,1310388.59,24.0,24.0,10.0,0,20,0,Medium,25.0,25.0,Medium,237.14000000000001,2233.9100000000003,-1996.7700000000002,-842.0215906215738,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00025,Vijay Sharma,Retail,Hyderabad,Telangana,43811.0,Low,46,495487.41000000003,986.86,623.94,362.91999999999996,3,370191.69,320.46000000000004,3845.5200000000004,1.0,499.18,1.0,1932918.89,1734777.59,304453.46704500006,1.0,388045.56,4.0,4.0,19.0,2,40,0,High,70.0,70.0,Critical,305440.32704500004,4968.640000000001,300471.687045,98.37328618389411,High Profit,1,Critical,High Value - High Risk
C00026,Suresh Nair,Student,Chennai,Tamil Nadu,60610.0,High,17,271694.2,295.48,274.57,20.910000000000025,1,241062.55,159.29,1911.48,1.0,699.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,70,3,Critical,0.0,0.0,,295.48,2885.48,-2590.0,-876.5398673345064,Loss Making,0,Critical,Low Value - High Risk
C00027,Pooja Singh,Premium,Pune,Maharashtra,177512.0,Low,61,504726.91000000003,1011.25,955.91,55.34000000000003,3,223992.88,195.94,2351.2799999999997,1.0,539.34,1.0,1532067.6,1136212.94,170772.80488199997,0.0,266379.58,6.0,6.0,10.0,0,25,0,Medium,35.0,35.0,Medium,171784.05488199997,3846.5299999999997,167937.52488199997,97.76083408751633,High Profit,1,Medium,High Value - Low/Medium Risk
C00028,Ajay Reddy,Retail,Mumbai,Maharashtra,147795.0,Low,15,142036.03,230.03,223.35000000000002,6.679999999999978,1,59972.96,56.7,680.4000000000001,3.0,1264.73,1.0,313766.89,56813.11,8578.77961,0.0,409458.36,24.0,20.0,10.0,0,30,0,Medium,40.0,40.0,Medium,8808.80961,2168.48,6640.329610000001,75.38282587537955,Medium Profit,0,Medium,Low Value - Low/Medium Risk
C00029,Anitha Nair,Premium,Kochi,Kerala,51837.0,Low,37,479274.33999999997,586.89,553.41,33.48000000000002,2,259441.34,142.65,1711.8000000000002,4.0,1431.2,1.0,170380.87,146782.48,20578.903696,0.0,96328.37,24.0,22.0,10.0,0,35,0,Medium,30.0,30.0,Medium,21165.793696,3696.41,17469.383696,82.53592540355072,Medium Profit,1,Medium,High Value - Low/Medium Risk
C00030,Karthik Reddy,Retail,Kochi,Kerala,67871.0,Low,19,155538.77,320.17,309.46,10.710000000000036,1,220856.17,138.71,1664.52,3.0,1354.98,1.0,1493194.18,0.0,0.0,0.0,1085131.8,18.0,18.0,10.0,0,30,0,Medium,35.0,35.0,Medium,320.17,3328.96,-3008.79,-939.7476340694005,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00031,Geetha Singh,Sme Owner,Kolkata,West Bengal,21281.0,Low,47,330168.46,775.74,619.9,155.84000000000003,2,134749.61000000002,155.53,1866.3600000000001,2.0,1160.88,1.0,177889.43,0.0,0.0,0.0,82530.06,9.0,7.0,10.0,0,20,0,Medium,30.0,30.0,Medium,775.74,3647.1400000000003,-2871.4000000000005,-370.1497924562354,Loss Making,1,Medium,High Value - Low/Medium Risk
C00032,Meena Gupta,Senior Citizen,Mumbai,Maharashtra,55989.0,Low,18,163624.56,313.15,308.72,4.42999999999995,1,6923.93,41.5,498.0,1.0,459.91,1.0,610835.37,469092.34,73741.31584800001,1.0,337141.77,18.0,18.0,59.0,0,30,0,Medium,70.0,70.0,Critical,74054.465848,1266.63,72787.835848,98.289596737353,High Profit,0,Critical,Low Value - High Risk
C00033,Vishal Rao,Sme Owner,Pune,Maharashtra,80315.0,Medium,21,294331.08,253.5,291.28,-37.77999999999997,1,129736.17,96.45,1157.4,2.0,817.6800000000001,1.0,140051.09,56032.61,8584.195852,1.0,64536.68,20.0,19.0,57.0,5,70,2,Critical,70.0,70.0,Critical,8837.695852,2266.36,6571.335852,74.35575926176374,Medium Profit,1,Critical,High Value - High Risk
C00034,Kavya Patel,Senior Citizen,Delhi,Delhi,92875.0,Low,40,489196.25,687.06,666.41,20.649999999999977,2,200389.43000000002,192.11,2305.32,0.0,0.0,1.0,1205059.9,622906.49,118227.651802,0.0,805106.77,24.0,22.0,10.0,0,35,0,Medium,60.0,60.0,High,118914.71180199999,2971.73,115942.981802,97.50095681605141,High Profit,1,High,High Value - High Risk
C00035,Anitha Nair,Retail,Pune,Maharashtra,48282.0,Low,14,92913.76,227.65,216.69,10.960000000000008,1,53014.08,139.67,1676.04,2.0,1137.87,1.0,483446.12,95548.6,13481.90746,1.0,229919.27,22.0,21.0,57.0,0,20,0,Medium,70.0,70.0,Critical,13709.55746,3030.6,10678.95746,77.89425363406296,Medium Profit,0,Critical,Low Value - High Risk
C00036,Naveen Gupta,Senior Citizen,Delhi,Delhi,137790.0,Medium,27,400119.9,505.67,435.55,70.12,2,464889.74,290.36,3484.32,3.0,1201.67,1.0,821764.67,0.0,0.0,0.0,354602.69,8.0,8.0,10.0,0,35,0,Medium,25.0,25.0,Medium,505.67,5121.540000000001,-4615.870000000001,-912.8225918088873,Loss Making,1,Medium,High Value - Low/Medium Risk
C00037,Arun Iyer,Senior Citizen,Kolkata,West Bengal,63006.0,Low,18,134675.25,255.72,297.2,-41.47999999999999,1,147225.44,60.85,730.2,1.0,268.16,1.0,1617073.39,1376328.27,239894.017461,1.0,826653.75,21.0,21.0,54.0,0,30,0,Medium,70.0,70.0,Critical,240149.737461,1295.5600000000002,238854.177461,99.46051991824044,High Profit,0,Critical,Low Value - High Risk
C00038,Kavya Kumar,Premium,Pune,Maharashtra,207172.0,Low,34,252377.15,482.33000000000004,516.59,-34.25999999999999,2,167622.95,185.32000000000002,2223.84,2.0,1108.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,Medium,0.0,0.0,,482.33000000000004,3848.71,-3366.38,-697.9412435469492,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00039,Suresh Kumar,Retail,Kolkata,West Bengal,36650.0,Low,17,105487.81999999999,306.02,264.59,41.43000000000001,1,86872.98,51.79,621.48,4.0,1602.3400000000001,1.0,178020.92,122946.75,14950.3248,0.0,221422.5,24.0,21.0,10.0,0,35,0,Medium,25.0,25.0,Medium,15256.3448,2488.41,12767.9348,83.6893434658084,Medium Profit,0,Medium,Low Value - Low/Medium Risk
C00040,Ajay Reddy,Retail,Kolkata,West Bengal,49190.0,Low,34,272993.36,580.05,584.65,-4.600000000000023,2,303805.66,285.90999999999997,3430.9199999999996,1.0,392.47,1.0,1060372.66,0.0,0.0,0.0,1101686.15,24.0,23.0,10.0,1,40,0,High,50.0,50.0,High,580.05,4408.04,-3827.99,-659.941384363417,Loss Making,1,High,High Value - High Risk
C00041,Priya Kumar,Senior Citizen,Delhi,Delhi,37786.0,Low,38,331106.64,655.0,647.18,7.82000000000005,2,279002.31,99.42,1193.04,0.0,0.0,1.0,1658375.61,0.0,0.0,0.0,237383.56,5.0,5.0,10.0,0,25,0,Medium,25.0,25.0,Medium,655.0,1840.2199999999998,-1185.2199999999998,-180.94961832061065,Loss Making,1,Medium,High Value - Low/Medium Risk
C00042,Vijay Iyer,Premium,Kochi,Kerala,139006.0,Low,33,310750.95999999996,598.76,569.89,28.870000000000005,2,229304.76,74.3,891.5999999999999,2.0,518.4000000000001,1.0,315690.63,0.0,0.0,0.0,290082.78,24.0,21.0,10.0,0,35,0,Medium,25.0,25.0,Medium,598.76,1979.8899999999999,-1381.1299999999999,-230.6650410849088,Loss Making,1,Medium,High Value - Low/Medium Risk
C00043,Suresh Gupta,Retail,Delhi,Delhi,83036.0,Low,55,468605.99,883.85,876.47,7.3799999999999955,3,537882.5800000001,308.13,3697.56,1.0,104.92,1.0,1725290.08,0.0,0.0,0.0,335341.18,8.0,8.0,10.0,0,35,0,Medium,40.0,40.0,Medium,883.85,4678.95,-3795.1,-429.3828138258754,Loss Making,1,Medium,High Value - Low/Medium Risk
C00044,Suresh Kumar,Mass Affluent,Coimbatore,Tamil Nadu,24889.0,Low,62,496436.3,1065.13,1019.53,45.600000000000136,3,408155.66000000003,459.98,5519.76,1.0,291.97,1.0,862768.54,685635.27,114912.47125200002,1.0,465825.0,19.0,18.0,59.0,0,35,0,Medium,90.0,90.0,Critical,115977.60125200002,6831.26,109146.34125200003,94.10984541303212,High Profit,1,Critical,High Value - High Risk
C00045,Naveen Sharma,Student,Mumbai,Maharashtra,17748.0,Low,44,500586.76,908.17,640.29,267.88,2,148635.64,63.370000000000005,760.44,2.0,742.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,70,3,Critical,0.0,0.0,,908.17,2143.1800000000003,-1235.0100000000002,-135.98885671184914,Loss Making,1,Critical,High Value - High Risk
C00046,Suresh Reddy,Senior Citizen,Delhi,Delhi,37619.0,Low,25,139656.19,420.93,455.8,-34.870000000000005,1,98460.79,112.82,1353.84,2.0,949.3900000000001,1.0,428348.64,206174.17,29359.201808,0.0,409593.83,10.0,9.0,10.0,0,20,0,Medium,30.0,30.0,Medium,29780.131808000002,2759.0299999999997,27021.101808000003,90.73533314832802,Medium Profit,0,Medium,Low Value - Low/Medium Risk
C00047,Arun Patel,Retail,Pune,Maharashtra,45724.0,Medium,35,231903.41,544.75,428.46,116.29000000000002,2,383165.04000000004,194.29000000000002,2331.4800000000005,1.0,630.98,1.0,809763.57,584941.83,76627.37973,0.0,556829.12,13.0,10.0,10.0,0,25,0,Medium,30.0,30.0,Medium,77172.12973,3390.9200000000005,73781.20973,95.60603029634699,High Profit,1,Medium,High Value - Low/Medium Risk
C00048,Arun Rao,Retail,Bengaluru,Karnataka,52602.0,Low,54,533512.75,970.48,764.2,206.27999999999997,3,1557108.93,374.52,4494.24,5.0,1452.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,Medium,0.0,0.0,,970.48,6710.82,-5740.34,-591.4949303437475,Loss Making,1,Medium,High Value - Low/Medium Risk
C00049,Arun Singh,Mass Affluent,Delhi,Delhi,35529.0,Low,37,204194.47,613.46,496.62,116.84000000000003,2,1093609.4700000002,88.55000000000001,1062.6000000000001,4.0,1179.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0,Medium,0.0,0.0,,613.46,2738.4100000000003,-2124.9500000000003,-346.3877025396929,Loss Making,1,Medium,High Value - Low/Medium Risk
C00050,Deepa Iyer,Retail,Madurai,Tamil Nadu,22089.0,Medium,34,277474.97,647.93,460.65999999999997,187.26999999999998,2,102476.08,89.62,1075.44,3.0,1090.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,Medium,0.0,0.0,,647.93,2626.42,-1978.4900000000002,-305.35551679965437,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00051,Sanjay Patel,Sme Owner,Kochi,Kerala,85909.0,Low,17,131683.02000000002,291.69,259.31,32.379999999999995,1,187808.96,36.58,438.96,2.0,979.26,1.0,1162889.22,221450.26,38465.91016200001,0.0,685153.19,14.0,12.0,10.0,0,35,0,Medium,70.0,70.0,Critical,38757.60016200001,1677.53,37080.07016200001,95.67173923827012,High Profit,0,Critical,Low Value - High Risk
C00052,Priya Kumar,Student,Hyderabad,Telangana,93088.0,Low,62,409046.92,1053.8,1020.5,33.299999999999955,3,354886.92,169.18,2030.16,4.0,994.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,Medium,0.0,0.0,,1053.8,4045.52,-2991.7200000000003,-283.8982729170621,Loss Making,1,Medium,High Value - Low/Medium Risk
C00053,Naveen Iyer,Retail,Chennai,Tamil Nadu,53996.0,Low,44,318867.4,727.28,730.51,-3.230000000000018,2,451723.39,246.60000000000002,2959.2000000000003,1.0,212.39,1.0,156698.04,42145.99,6473.624063999999,0.0,126706.65,24.0,20.0,10.0,0,20,0,Medium,60.0,60.0,High,7200.9040639999985,3902.1,3298.8040639999986,45.81097088200284,Medium Profit,1,High,High Value - High Risk
C00054,Lakshmi Singh,Premium,Kolkata,West Bengal,31983.0,Low,56,515688.6,906.34,898.6899999999999,7.650000000000091,3,279175.27999999997,325.12,3901.44,1.0,157.26,1.0,515237.52,384408.67,64849.742629,1.0,175438.91,9.0,8.0,56.0,0,30,0,Medium,70.0,70.0,Critical,65756.082629,4957.39,60798.692629,92.46094079543956,High Profit,1,Critical,High Value - High Risk
C00055,Suresh Verma,Sme Owner,Kochi,Kerala,24640.0,Low,32,243670.37,537.07,541.11,-4.039999999999964,2,122003.6,191.39000000000001,2296.6800000000003,1.0,588.89,1.0,566489.82,322229.84,44371.048968,0.0,532428.4500000001,24.0,22.0,10.0,0,35,0,Medium,25.0,25.0,Medium,44908.118968,3426.6800000000003,41481.438968,92.36957574989562,High Profit,0,Medium,Low Value - Low/Medium Risk
C00056,Arun Gupta,Mass Affluent,Kochi,Kerala,23167.0,Low,31,219910.64,522.76,563.21,-40.450000000000045,2,380500.9,193.75,2325.0,2.0,918.17,1.0,342397.4,141978.28,16867.019664,0.0,254531.57,24.0,22.0,10.0,0,25,0,Medium,25.0,25.0,Medium,17389.779663999998,3806.38,13583.399663999997,78.11139604097515,Medium Profit,1,Medium,High Value - Low/Medium Risk
C00057,Suresh Nair,Mass Affluent,Bengaluru,Karnataka,35034.0,Low,13,81908.38,192.14000000000001,216.70000000000002,-24.560000000000002,1,141199.6,35.07,420.84000000000003,1.0,500.22,1.0,312366.27,0.0,0.0,0.0,247734.82,24.0,23.0,10.0,0,35,0,Medium,30.0,30.0,Medium,192.14000000000001,1137.7600000000002,-945.6200000000002,-492.151556156969,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00058,Suresh Reddy,Mass Affluent,Bengaluru,Karnataka,55048.0,Low,15,82705.42,325.74,165.84,159.9,1,125685.41,69.79,837.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,0,Medium,0.0,0.0,,325.74,1003.32,-677.58,-208.0125253269479,Loss Making,0,Medium,Low Value - Low/Medium Risk
C00059,Rahul Verma,Retail,Chennai,Tamil Nadu,115994.0,Medium,19,103287.03,409.29,272.40999999999997,136.88000000000005,1,50840.18,74.36,892.3199999999999,3.0,1162.69,1.0,2287209.23,2064689.83,290914.79704700003,0.0,517635.07,8.0,7.0,8.0,0,0,0,Low,30.0,30.0,Medium,291324.087047,2327.42,288996.667047,99.20108906078045,High Profit,0,Medium,Low Value - Low/Medium Risk
C00060,Priya Sharma,Premium,Coimbatore,Tamil Nadu,26644.0,High,34,299892.47000000003,656.33,502.77,153.56000000000006,2,134952.87,56.26,675.12,2.0,691.61,1.0,172857.12,0.0,0.0,0.0,200380.14,12.0,11.0,10.0,1,40,0,High,35.0,35.0,Medium,656.33,1869.5,-1213.17,-184.84146694498193,Loss Making,1,High,High Value - High Risk
C00061,Pooja Iyer,Senior Citizen,Bengaluru,Karnataka,46623.0,Medium,34,223910.13999999998,476.43,510.01,-33.579999999999984,2,2194740.4499999997,250.32,3003.84,2.0,983.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,0,Medium,0.0,0.0,,476.43,4497.22,-4020.7900000000004,-843.9413974770691,Loss Making,1,Medium,High Value - Low/Medium Risk
C00062,Karthik Iyer,Retail,Pune,Maharashtra,52952.0,Low,15,80621.62,311.06,193.43,117.63,1,116811.99,179.57,2154.84,1.0,295.05,1.0,1683156.51,325771.87,61440.574682,1.0,603547.09,14.0,13.0,47.0,0,15,0,Low,75.0,75.0,Critical,61751.634681999996,2643.32,59108.314682,95.71943315571774,High Profit,0,Critical,Low Value - High Risk
C00063,Naveen Kumar,Mass Affluent,Hyderabad,Telangana,45323.0,High,48,605623.9299999999,765.4,715.54,49.860000000000014,2,125666.3,191.24,2294.88,1.0,486.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0,Medium,0.0,0.0,,765.4,3496.51,-2731.11,-356.8212699242227,Loss Making,1,Medium,High Value - Low/Medium Risk
C00064,Divya Reddy,Mass Affluent,Chennai,Tamil Nadu,64849.0,Low,34,186832.66999999998,581.65,548.65,33.0,2,179196.59999999998,189.24,2270.88,2.0,318.75,1.0,110347.31,39229.85,6076.703765,0.0,65568.83,24.0,23.0,10.0,1,40,0,High,40.0,40.0,Medium,6658.353765,3138.28,3520.0737649999996,52.867028236070304,Medium Profit,0,High,Low Value - High Risk
C00065,Kavya Patel,Mass Affluent,Madurai,Tamil Nadu,26540.0,Medium,36,303575.99,614.52,643.9399999999999,-29.41999999999996,2,199045.81,274.35,3292.2000000000003,3.0,1019.88,1.0,1781761.71,0.0,0.0,0.0,2218347.9699999997,24.0,22.0,9.0,0,20,0,Medium,35.0,35.0,Medium,614.52,4956.02,-4341.5,-706.4863633404934,Loss Making,1,Medium,High Value - Low/Medium Risk
