customer_id,total_transactions,total_transaction_value,suspicious_transactions,max_fraud_risk_score,average_fraud_risk_score,confirmed_fraud_transactions,customer_name,customer_segment,city,annual_income,declared_risk_segment,customer_fraud_risk_level
C00028,15,142036.03,0,30,3.3333333333333335,0,Ajay Reddy,Retail,Mumbai,147795.0,Low,Medium
C00029,37,479274.33999999997,0,35,16.62162162162162,0,Anitha Nair,Premium,Kochi,51837.0,Low,Medium
C00030,19,155538.77,0,30,2.6315789473684212,0,Karthik Reddy,Retail,Kochi,67871.0,Low,Medium
C00031,47,330168.46,0,20,1.702127659574468,0,Geetha Singh,Sme Owner,Kolkata,21281.0,Low,Medium
C00032,18,163624.56,0,30,3.3333333333333335,0,Meena Gupta,Senior Citizen,Mumbai,55989.0,Low,Medium
C00033,21,294331.08,5,70,25.0,2,Vishal Rao,Sme Owner,Pune,80315.0,Medium,Critical
C00034,40,489196.25,0,35,9.75,0,Kavya Patel,Senior Citizen,Delhi,92875.0,Low,Medium
C00035,14,92913.76,0,20,1.4285714285714286,0,Anitha Nair,Retail,Pune,48282.0,Low,Medium
C00036,27,400119.9,0,35,17.962962962962962,0,Naveen Gupta,Senior Citizen,Delhi,137790.0,Medium,Medium
C00037,18,134675.25,0,30,1.6666666666666667,0,Arun Iyer,Senior Citizen,Kolkata,63006.0,Low,Medium
C00038,34,252377.15,0,20,1.1764705882352942,0,Kavya Kumar,Premium,Pune,207172.0,Low,Medium
C00039,17,105487.81999999999,0,35,7.9411764705882355,0,Suresh Kumar,Retail,Kolkata,36650.0,Low,Medium
C00040,34,272993.36,1,40,12.647058823529411,0,Ajay Reddy,Retail,Kolkata,49190.0,Low,High
C00041,38,331106.64,0,25,7.105263157894737,0,Priya Kumar,Senior Citizen,Delhi,37786.0,Low,Medium
C00042,33,310750.95999999996,0,35,8.030303030303031,0,Vijay Iyer,Premium,Kochi,139006.0,Low,Medium
C00043,55,468605.99,0,35,16.818181818181817,0,Suresh Gupta,Retail,Delhi,83036.0,Low,Medium
C00044,62,496436.3,0,35,15.96774193548387,0,Suresh Kumar,Mass Affluent,Coimbatore,24889.0,Low,Medium
C00045,44,500586.76,3,70,11.704545454545455,3,Naveen Sharma,Student,Mumbai,17748.0,Low,Critical
C00046,25,139656.19,0,20,0.8,0,Suresh Reddy,Senior Citizen,Delhi,37619.0,Low,Medium
C00047,35,231903.41,0,25,6.571428571428571,0,Arun Patel,Retail,Pune,45724.0,Medium,Medium
C00048,54,533512.75,0,30,12.962962962962964,0,Arun Rao,Retail,Bengaluru,52602.0,Low,Medium
C00049,37,204194.47,0,25,6.081081081081081,0,Arun Singh,Mass Affluent,Delhi,35529.0,Low,Medium
C00050,34,277474.97,0,30,2.0588235294117645,0,Deepa Iyer,Retail,Madurai,22089.0,Medium,Medium
C00051,17,131683.02000000002,0,35,7.9411764705882355,0,Sanjay Patel,Sme Owner,Kochi,85909.0,Low,Medium
C00052,62,409046.92,0,35,16.612903225806452,0,Priya Kumar,Student,Hyderabad,93088.0,Low,Medium
C00053,44,318867.4,0,20,0.9090909090909091,0,Naveen Iyer,Retail,Chennai,53996.0,Low,Medium
C00054,56,515688.6,0,30,12.5,0,Lakshmi Singh,Premium,Kolkata,31983.0,Low,Medium
C00055,32,243670.37,0,35,7.8125,0,Suresh Verma,Sme Owner,Kochi,24640.0,Low,Medium
C00056,31,219910.64,0,25,6.935483870967742,0,Arun Gupta,Mass Affluent,Kochi,23167.0,Low,Medium
C00057,13,81908.38,0,35,7.3076923076923075,0,Suresh Nair,Mass Affluent,Bengaluru,35034.0,Low,Medium
C00058,15,82705.42,0,20,2.6666666666666665,0,Suresh Reddy,Mass Affluent,Bengaluru,55048.0,Low,Medium
C00059,19,103287.03,0,0,0.0,0,Rahul Verma,Retail,Chennai,115994.0,Medium,Low
C00060,34,299892.47000000003,1,40,13.235294117647058,0,Priya Sharma,Premium,Coimbatore,26644.0,High,High
C00061,34,223910.13999999998,0,35,16.176470588235293,0,Pooja Iyer,Senior Citizen,Bengaluru,46623.0,Medium,Medium
C00062,15,80621.62,0,15,15.0,0,Karthik Iyer,Retail,Pune,52952.0,Low,Low
C00063,48,605623.9299999999,0,30,12.5,0,Naveen Kumar,Mass Affluent,Hyderabad,45323.0,High,Medium
C00064,34,186832.66999999998,1,40,20.58823529411765,0,Divya Reddy,Mass Affluent,Chennai,64849.0,Low,High
C00065,36,303575.99,0,20,1.6666666666666667,0,Kavya Patel,Mass Affluent,Madurai,26540.0,Medium,Medium
C00066,40,288567.86,0,20,0.5,0,Pooja Iyer,Retail,Coimbatore,41067.0,High,Medium
C00067,17,214343.82,0,30,2.9411764705882355,0,Naveen Rao,Retail,Pune,12000.0,Low,Medium
C00068,51,364664.14,0,30,10.392156862745098,0,Pooja Kumar,Student,Madurai,39953.0,Low,Medium
C00069,21,193759.32,0,35,8.80952380952381,0,Vishal Verma,Sme Owner,Bengaluru,30533.0,Low,Medium
C00070,32,236363.73,0,25,6.875,0,Deepa Gupta,Sme Owner,Madurai,63571.0,High,Medium
C00071,18,226841.65,0,25,7.222222222222222,0,Meena Singh,Student,Mumbai,40264.0,Low,Medium
C00072,11,63008.75,0,5,5.0,0,Divya Singh,Premium,Kolkata,54710.0,Low,Low
C00073,12,61278.57,0,30,2.5,0,Arun Patel,Premium,Hyderabad,51882.0,Low,Medium
C00074,18,162376.57,0,30,4.444444444444445,0,Sneha Verma,Retail,Hyderabad,49810.0,Medium,Medium
C00075,21,146741.45,0,20,1.9047619047619047,0,Kavya Reddy,Premium,Delhi,39644.0,Medium,Medium
C00076,17,63340.43,0,10,10.0,0,Meena Kumar,Retail,Madurai,69985.0,Medium,Low
C00077,38,262945.21,0,35,6.315789473684211,0,Rohit Rao,Mass Affluent,Pune,83678.0,Medium,Medium
C00078,16,113036.86,0,20,1.25,0,Meena Patel,Student,Mumbai,188573.0,Low,Medium
C00079,15,224343.99,2,40,15.333333333333334,0,Vijay Rao,Retail,Madurai,81349.0,Low,High
C00080,15,173971.22,0,25,6.333333333333333,0,Arun Verma,Retail,Coimbatore,41541.0,Low,Medium
C00081,26,232792.24,0,25,7.3076923076923075,0,Rohit Kumar,Sme Owner,Hyderabad,29316.0,Medium,Medium
C00082,12,62464.45,0,0,0.0,0,Rohit Gupta,Senior Citizen,Bengaluru,12000.0,Low,Low
C00083,28,579057.94,6,70,32.857142857142854,4,Lakshmi Iyer,Mass Affluent,Pune,44069.0,High,Critical
C00084,35,226349.09,0,25,6.142857142857143,0,Sanjay Verma,Senior Citizen,Chennai,62239.0,Medium,Medium
C00085,17,278554.65,3,70,16.470588235294116,3,Rohit Sharma,Senior Citizen,Hyderabad,64284.0,Medium,Critical
C00086,31,188022.44,0,20,1.2903225806451613,0,Rahul Kumar,Retail,Hyderabad,50561.0,Low,Medium
C00087,16,83385.26,0,35,6.875,0,Suresh Singh,Retail,Coimbatore,113397.0,High,Medium
C00088,17,139568.49,0,35,8.529411764705882,0,Ajay Gupta,Mass Affluent,Bengaluru,61356.0,Low,Medium
C00089,24,928778.18,1,70,10.625,1,Geetha Rao,Mass Affluent,Madurai,142722.0,Medium,Critical
C00090,35,271211.71,0,25,6.714285714285714,0,Lakshmi Gupta,Mass Affluent,Madurai,28243.0,Low,Medium
C00091,24,154893.39,0,0,0.0,0,Kavya Singh,Retail,Bengaluru,79455.0,Low,Low
C00092,9,36827.869999999995,0,5,5.0,0,Meena Gupta,Sme Owner,Kolkata,30362.0,Low,Low
C00093,14,76546.65,0,0,0.0,0,Kavya Nair,Retail,Bengaluru,32490.0,Medium,Low
C00094,36,305992.77999999997,0,30,3.0555555555555554,0,Vijay Kumar,Student,Hyderabad,101514.0,Low,Medium
C00095,20,129043.89,0,0,0.0,0,Rohit Kumar,Retail,Coimbatore,52217.0,Low,Low
C00096,43,368277.39,0,35,6.627906976744186,0,Rohit Sharma,Retail,Kochi,29115.0,Low,Medium
C00097,31,294716.04,0,25,8.225806451612904,0,Vishal Singh,Retail,Kolkata,76354.0,Low,Medium
C00098,51,330004.42,0,20,1.1764705882352942,0,Priya Kumar,Sme Owner,Hyderabad,78109.0,Low,Medium
C00099,25,163403.15,0,25,6.6,0,Rohit Gupta,Mass Affluent,Delhi,123062.0,Medium,Medium
C00100,15,64624.22,0,0,0.0,0,Meena Gupta,Retail,Pune,48717.0,Low,Low
C00101,31,186508.94999999998,0,25,5.645161290322581,0,Pooja Verma,Retail,Coimbatore,74089.0,Low,Medium
C00102,10,59709.68,0,35,8.0,0,Vishal Nair,Retail,Pune,81169.0,Low,Medium
C00103,57,524845.8,0,20,1.7543859649122806,0,Karthik Sharma,Mass Affluent,Madurai,85821.0,Low,Medium
C00104,20,91200.9,0,0,0.0,0,Rahul Sharma,Mass Affluent,Bengaluru,42556.0,Low,Low
C00105,20,133324.99,0,30,1.5,0,Naveen Kumar,Senior Citizen,Pune,21221.0,Low,Medium
C00106,25,108567.06,0,5,5.0,0,Suresh Nair,Mass Affluent,Kochi,120700.0,Low,Low
C00107,14,203480.91,0,30,5.714285714285714,0,Lakshmi Patel,Mass Affluent,Coimbatore,12000.0,Medium,Medium
C00108,19,174428.09,0,25,8.157894736842104,0,Rahul Singh,Mass Affluent,Bengaluru,26314.0,Medium,Medium
C00109,37,259109.63999999998,0,30,11.08108108108108,0,Suresh Sharma,Retail,Pune,74838.0,High,Medium
C00110,30,284523.85000000003,0,30,3.3333333333333335,0,Ajay Iyer,Premium,Mumbai,55450.0,High,Medium
C00111,17,128921.4,0,5,5.0,0,Kavya Nair,Retail,Mumbai,28453.0,Low,Low
C00112,15,133281.5,0,35,8.333333333333334,0,Geetha Sharma,Retail,Madurai,68414.0,Low,Medium
C00113,20,93477.93,0,5,5.0,0,Deepa Nair,Sme Owner,Madurai,128565.0,Low,Low
C00114,34,289734.12,0,35,17.352941176470587,0,Sanjay Verma,Retail,Hyderabad,121481.0,Medium,Medium
C00115,14,118057.48999999999,0,25,6.428571428571429,0,Karthik Sharma,Sme Owner,Madurai,48148.0,Low,Medium
C00116,28,176578.15,0,20,0.7142857142857143,0,Lakshmi Kumar,Senior Citizen,Bengaluru,45848.0,Medium,Medium
C00117,48,422661.68,0,20,1.6666666666666667,0,Rohit Patel,Retail,Kochi,65723.0,Low,Medium
C00118,16,88787.64,0,5,5.0,0,Pooja Verma,Retail,Bengaluru,60348.0,Low,Low
C00119,20,270644.82,0,20,3.0,0,Pooja Kumar,Retail,Pune,22603.0,Low,Medium
C00120,14,82255.42,0,5,5.0,0,Kavya Kumar,Sme Owner,Kolkata,79067.0,Low,Low
C00121,51,531007.6,8,70,25.49019607843137,4,Suresh Iyer,Retail,Chennai,78722.0,High,Critical
C00122,16,159957.22,0,35,10.0,0,Divya Sharma,Retail,Madurai,208881.0,Low,Medium
C00123,21,163954.96,0,35,7.857142857142857,0,Sneha Kumar,Retail,Pune,49808.0,Low,Medium
C00124,16,125462.51,0,35,8.125,0,Kavya Iyer,Retail,Coimbatore,69404.0,Low,Medium
C00125,16,120410.63,0,20,1.25,0,Karthik Iyer,Retail,Hyderabad,70370.0,Low,Medium
C00126,15,70374.45,0,0,0.0,0,Pooja Reddy,Retail,Chennai,45859.0,Low,Low
C00127,31,293750.85,0,30,2.903225806451613,0,Geetha Patel,Retail,Mumbai,44833.0,Low,Medium
C00128,17,166070.24,0,35,9.705882352941176,0,Sneha Patel,Mass Affluent,Bengaluru,45797.0,High,Medium
C00129,36,329591.75,0,35,17.22222222222222,0,Divya Patel,Sme Owner,Kolkata,40587.0,High,Medium
C00130,19,225252.30000000002,0,30,2.6315789473684212,0,Kavya Nair,Senior Citizen,Mumbai,18723.0,High,Medium
C00131,10,103357.63,0,25,9.0,0,Sneha Singh,Retail,Coimbatore,173763.0,Low,Medium
C00132,21,210235.77,0,25,7.857142857142857,0,Lakshmi Singh,Retail,Mumbai,29293.0,Low,Medium
C00133,52,315481.97000000003,0,25,6.153846153846154,0,Anitha Gupta,Mass Affluent,Madurai,47454.0,Medium,Medium
C00134,33,285667.13,0,35,8.636363636363637,0,Rohit Gupta,Senior Citizen,Chennai,37166.0,Low,Medium
C00135,21,163259.39,0,25,6.904761904761905,0,Vijay Nair,Retail,Coimbatore,36912.0,Low,Medium
C00136,20,149674.3,0,35,17.0,0,Geetha Verma,Retail,Kochi,77873.0,Low,Medium
C00137,16,173844.29,0,20,2.5,0,Deepa Reddy,Mass Affluent,Hyderabad,46767.0,Low,Medium
C00138,35,313959.53,0,30,3.142857142857143,0,Naveen Nair,Retail,Kochi,43150.0,Low,Medium
C00139,17,153578.52,0,30,1.7647058823529411,0,Naveen Singh,Retail,Madurai,99271.0,High,Medium
C00140,24,229309.73,1,40,12.916666666666666,0,Divya Patel,Mass Affluent,Madurai,54850.0,Low,High
C00141,21,310644.94,3,70,10.0,3,Suresh Iyer,Retail,Chennai,156140.0,Low,Critical
C00142,21,131638.33,0,0,0.0,0,Rohit Reddy,Senior Citizen,Pune,60269.0,Low,Low
C00143,16,130759.78,0,20,1.25,0,Deepa Reddy,Student,Kochi,59940.0,Low,Medium
C00144,14,116937.45,0,20,1.4285714285714286,0,Priya Kumar,Student,Mumbai,56191.0,Low,Medium
C00145,10,53756.5,0,5,5.0,0,Ajay Verma,Premium,Hyderabad,106663.0,Low,Low
C00146,38,317253.49,1,45,17.894736842105264,0,Rahul Singh,Retail,Kochi,141788.0,Low,High
C00147,18,184423.43,1,40,13.88888888888889,0,Priya Verma,Mass Affluent,Mumbai,112013.0,Low,High
C00148,42,458801.95,0,35,8.571428571428571,0,Arun Patel,Retail,Kolkata,31390.0,Medium,Medium
C00149,65,422687.79,0,35,15.923076923076923,0,Rohit Rao,Retail,Coimbatore,53228.0,Medium,Medium
C00150,35,225541.58,0,30,1.8571428571428572,0,Sneha Reddy,Retail,Madurai,40857.0,Low,Medium
C00151,22,160237.85,0,25,5.909090909090909,0,Kavya Iyer,Mass Affluent,Pune,43116.0,Low,Medium
C00152,19,209256.22,0,35,7.631578947368421,0,Sneha Sharma,Retail,Chennai,98474.0,Medium,Medium
C00153,20,202556.12999999998,0,30,3.0,0,Vijay Sharma,Student,Kochi,26346.0,Low,Medium
C00154,13,75504.45999999999,0,5,5.0,0,Pooja Iyer,Retail,Madurai,108851.0,Medium,Low
C00155,15,85517.88,0,0,0.0,0,Anitha Kumar,Premium,Bengaluru,61999.0,Low,Low
C00156,44,349947.79,0,35,7.5,0,Ajay Patel,Sme Owner,Hyderabad,34070.0,Low,Medium
C00157,21,188360.35,0,35,7.380952380952381,0,Vishal Patel,Senior Citizen,Delhi,30532.0,Low,Medium
C00158,16,195801.1,0,25,6.25,0,Anitha Verma,Retail,Delhi,55875.0,Low,Medium
C00159,23,387978.27,5,70,33.69565217391305,4,Rahul Nair,Mass Affluent,Hyderabad,28022.0,Medium,Critical
C00160,16,109145.81,0,30,3.125,0,Meena Patel,Mass Affluent,Mumbai,125137.0,Low,Medium
C00161,35,149725.95,0,5,5.0,0,Rohit Patel,Student,Madurai,36865.0,Low,Low
C00162,17,132619.81,0,35,16.176470588235293,0,Lakshmi Verma,Mass Affluent,Bengaluru,67753.0,Low,Medium
C00163,11,83432.2,0,30,2.727272727272727,0,Deepa Sharma,Senior Citizen,Pune,34870.0,Low,Medium
C00164,41,646583.9,3,70,11.707317073170731,3,Priya Patel,Mass Affluent,Coimbatore,25308.0,Low,Critical
C00165,17,106121.14,0,20,1.1764705882352942,0,Arun Nair,Retail,Bengaluru,83046.0,High,Medium
C00166,19,169964.93,0,20,3.1578947368421053,0,Anitha Gupta,Senior Citizen,Mumbai,69741.0,Medium,Medium
C00167,32,322805.83,1,45,17.1875,0,Karthik Rao,Retail,Pune,48994.0,Medium,High
C00168,16,126730.59000000001,0,25,6.25,0,Deepa Gupta,Senior Citizen,Kolkata,52633.0,Medium,Medium
C00169,58,457217.32,0,35,7.586206896551724,0,Pooja Verma,Retail,Chennai,75059.0,Medium,Medium
C00170,23,104593.77,0,0,0.0,0,Lakshmi Rao,Retail,Chennai,65189.0,Low,Low
C00171,18,58533.24,0,5,5.0,0,Vishal Nair,Retail,Hyderabad,155346.0,Low,Low
C00172,15,159115.92,0,30,2.0,0,Ajay Rao,Mass Affluent,Kolkata,34215.0,Medium,Medium
C00173,12,67406.97,0,5,5.0,0,Rohit Patel,Mass Affluent,Chennai,58542.0,Low,Low
C00174,32,355667.2,0,25,6.875,0,Sneha Singh,Retail,Delhi,83097.0,Medium,Medium
C00175,14,134432.76,0,35,10.0,0,Sanjay Iyer,Retail,Chennai,29766.0,Medium,Medium
C00176,36,325389.95,0,30,2.5,0,Anitha Gupta,Premium,Coimbatore,34658.0,Low,Medium
C00177,21,164382.63999999998,0,20,1.9047619047619047,0,Rahul Nair,Mass Affluent,Pune,73004.0,Low,Medium
C00178,35,262419.3,1,45,16.428571428571427,0,Suresh Nair,Premium,Coimbatore,28779.0,Low,High
C00179,13,66052.91,0,0,0.0,0,Divya Iyer,Student,Mumbai,63289.0,Low,Low
C00180,25,426662.48,5,70,20.8,4,Rohit Nair,Retail,Mumbai,52623.0,High,Critical
C00181,19,244098.88,0,20,3.1578947368421053,0,Kavya Kumar,Mass Affluent,Coimbatore,57662.0,Medium,Medium
C00182,12,66109.78,0,5,5.0,0,Meena Rao,Retail,Delhi,38300.0,Low,Low
C00183,19,129609.31999999999,0,25,6.052631578947368,0,Suresh Nair,Retail,Delhi,152999.0,Low,Medium
C00184,24,162373.27,0,35,6.25,0,Kavya Kumar,Student,Chennai,54987.0,High,Medium
C00185,17,135357.31,0,35,6.764705882352941,0,Priya Nair,Mass Affluent,Kochi,34947.0,Low,Medium
C00186,35,174422.35,1,40,11.428571428571429,0,Sanjay Verma,Sme Owner,Kolkata,36161.0,Medium,High
C00187,26,171896.72,0,25,5.769230769230769,0,Rohit Singh,Retail,Pune,41838.0,Low,Medium
C00188,28,206027.79,0,30,2.5,0,Rahul Kumar,Senior Citizen,Hyderabad,54248.0,Low,Medium
C00189,16,949083.15,1,70,9.0625,1,Geetha Reddy,Student,Delhi,38637.0,Medium,Critical
C00190,22,471150.54,3,70,24.318181818181817,3,Meena Singh,Mass Affluent,Hyderabad,47481.0,Low,Critical
C00191,31,252951.23,0,35,8.870967741935484,0,Deepa Singh,Senior Citizen,Kochi,25087.0,Medium,Medium
C00192,37,459104.56,0,35,7.4324324324324325,0,Vishal Sharma,Retail,Kolkata,37983.0,Low,Medium
C00193,23,144205.41,0,35,6.304347826086956,0,Kavya Singh,Sme Owner,Hyderabad,73535.0,Low,Medium
C00194,25,165411.18,0,20,1.6,0,Ajay Iyer,Retail,Kochi,49812.0,Low,Medium
C00195,22,158473.04,0,35,6.363636363636363,0,Sanjay Patel,Sme Owner,Mumbai,28854.0,Medium,Medium
C00196,8,86484.69,0,35,8.75,0,Vijay Gupta,Sme Owner,Bengaluru,66609.0,Low,Medium
C00197,38,298997.56,0,35,16.05263157894737,0,Sanjay Patel,Senior Citizen,Hyderabad,46345.0,Low,Medium
C00198,47,515598.51,0,20,2.5531914893617023,0,Pooja Gupta,Sme Owner,Madurai,64974.0,Low,Medium
C00199,18,89904.46,0,25,6.111111111111111,0,Deepa Verma,Retail,Bengaluru,69261.0,Low,Medium
C00200,43,363454.31,0,30,2.0930232558139537,0,Rahul Gupta,Retail,Chennai,56163.0,Low,Medium
C00201,48,632623.51,3,70,11.770833333333334,3,Ajay Patel,Student,Kochi,47340.0,Low,Critical
C00202,9,57196.78,0,35,8.333333333333334,0,Rohit Iyer,Mass Affluent,Pune,56707.0,Medium,Medium
C00203,18,208766.86,0,30,2.7777777777777777,0,Karthik Reddy,Retail,Bengaluru,84755.0,Low,Medium
C00204,25,220926.83,0,25,5.8,0,Divya Iyer,Sme Owner,Kolkata,117466.0,Medium,Medium
C00205,50,416752.55,0,35,17.4,0,Geetha Nair,Mass Affluent,Kochi,70144.0,Medium,Medium
C00206,17,140049.89,0,30,2.9411764705882355,0,Meena Rao,Retail,Pune,18195.0,High,Medium
C00207,16,104740.95,0,0,0.0,0,Ajay Verma,Retail,Kochi,128939.0,Medium,Low
C00208,18,132201.05,0,35,16.11111111111111,0,Rohit Iyer,Retail,Delhi,47851.0,Low,Medium
C00209,32,261835.49000000002,0,35,6.875,0,Divya Patel,Student,Coimbatore,35351.0,Medium,Medium
C00210,20,83849.03,0,0,0.0,0,Arun Patel,Senior Citizen,Delhi,55561.0,Low,Low
C00211,30,230317.03,0,25,6.333333333333333,0,Divya Singh,Senior Citizen,Chennai,41963.0,Low,Medium
C00212,22,188886.98,0,30,2.272727272727273,0,Kavya Rao,Mass Affluent,Bengaluru,27090.0,Medium,Medium
C00213,16,76439.64,0,5,5.0,0,Meena Nair,Mass Affluent,Chennai,79820.0,Medium,Low
C00214,23,471218.74,4,70,21.304347826086957,4,Geetha Sharma,Senior Citizen,Delhi,63351.0,Low,Critical
C00215,18,99272.83,0,0,0.0,0,Suresh Reddy,Sme Owner,Coimbatore,77584.0,Medium,Low
C00216,14,57484.39,0,0,0.0,0,Rohit Sharma,Student,Mumbai,117841.0,Low,Low
C00217,31,219512.46,0,25,6.290322580645161,0,Pooja Gupta,Premium,Bengaluru,38128.0,Low,Medium
C00218,42,275957.99,0,30,1.4285714285714286,0,Suresh Kumar,Student,Bengaluru,83732.0,Low,Medium
C00219,36,433106.24,0,30,3.611111111111111,0,Sanjay Patel,Senior Citizen,Pune,57897.0,Medium,Medium
C00220,14,191386.15,0,20,1.4285714285714286,0,Meena Patel,Sme Owner,Bengaluru,67512.0,Low,Medium
C00221,40,373892.62,0,35,7.75,0,Sneha Reddy,Premium,Pune,32607.0,Medium,Medium
C00222,40,269185.54,0,35,5.75,0,Karthik Singh,Mass Affluent,Delhi,66106.0,Low,Medium
C00223,18,82304.03,0,30,1.6666666666666667,0,Meena Gupta,Mass Affluent,Mumbai,36508.0,Low,Medium
C00224,52,522745.24000000005,1,40,13.173076923076923,0,Ajay Sharma,Retail,Mumbai,44867.0,Low,High
C00225,21,132174.13,0,5,5.0,0,Naveen Nair,Retail,Bengaluru,63088.0,Medium,Low
C00226,61,397316.85000000003,0,30,10.327868852459016,0,Karthik Nair,Premium,Kochi,85938.0,Low,Medium
C00227,30,240233.35,0,35,7.333333333333333,0,Priya Nair,Retail,Kolkata,63280.0,High,Medium
C00228,14,60128.58,0,0,0.0,0,Suresh Gupta,Student,Coimbatore,55931.0,Low,Low
C00229,17,188480.02000000002,0,30,2.9411764705882355,0,Deepa Rao,Retail,Mumbai,37042.0,Low,Medium
C00230,11,75565.62999999999,0,0,0.0,0,Pooja Nair,Retail,Delhi,21601.0,Medium,Low
C00231,14,96988.99,0,5,5.0,0,Arun Sharma,Retail,Chennai,60785.0,Low,Low
C00232,14,81067.93,0,0,0.0,0,Vijay Singh,Retail,Chennai,43707.0,Low,Low
C00233,23,165574.06,0,30,2.1739130434782608,0,Vishal Iyer,Senior Citizen,Madurai,46513.0,Medium,Medium
C00234,16,129191.51,0,20,1.25,0,Vishal Kumar,Retail,Chennai,12000.0,Low,Medium
C00235,20,172414.0,0,25,8.0,0,Rahul Nair,Retail,Pune,59381.0,Low,Medium
C00236,23,135736.22,0,35,6.304347826086956,0,Karthik Patel,Senior Citizen,Hyderabad,38195.0,Low,Medium
C00237,35,320837.04,0,30,2.857142857142857,0,Geetha Nair,Premium,Pune,89215.0,Low,Medium
C00238,47,311503.19,0,30,11.27659574468085,0,Lakshmi Rao,Sme Owner,Chennai,81371.0,Low,Medium
C00239,17,181905.5,0,35,8.529411764705882,0,Lakshmi Gupta,Sme Owner,Chennai,68546.0,Low,Medium
C00240,17,139565.92,0,35,7.9411764705882355,0,Karthik Verma,Retail,Coimbatore,21738.0,High,Medium
C00241,20,197329.77,0,35,10.5,0,Vijay Iyer,Student,Kolkata,40762.0,High,Medium
C00242,41,325481.28,0,35,7.682926829268292,0,Suresh Singh,Retail,Bengaluru,45049.0,Low,Medium
C00243,22,212065.96,0,35,7.7272727272727275,0,Vijay Singh,Senior Citizen,Mumbai,151910.0,Medium,Medium
C00244,51,449441.1,0,30,12.745098039215685,0,Karthik Nair,Mass Affluent,Kolkata,19150.0,High,Medium
C00245,17,143784.97,0,30,2.9411764705882355,0,Deepa Nair,Retail,Madurai,77339.0,Low,Medium
C00246,17,139584.91,0,25,6.176470588235294,0,Suresh Reddy,Retail,Bengaluru,24575.0,Medium,Medium
C00247,37,235490.75,0,20,0.5405405405405406,0,Priya Patel,Sme Owner,Mumbai,90833.0,Medium,Medium
